Country,Year,Life Expectancy,Infant Mortality Rate,Vaccination Coverage (%),Disease Prevalence (%),GDP per Capita,Region
Australia,2015,67.5,2.2,78.6,21.1,19169.65,Americas
South Africa,2016,83.8,48.6,73.7,9.5,79845.3,Asia
Germany,2018,72.8,11.0,99.2,11.4,51794.9,Americas
China,2004,83.0,35.2,83.9,13.6,11646.65,Americas
India,2018,70.2,21.9,58.4,18.3,21760.9,Europe
USA,2018,74.2,58.5,65.9,16.3,5015.51,Europe
Germany,2021,72.7,39.6,88.4,8.4,59276.43,Americas
Germany,2000,54.0,45.7,67.7,14.2,64013.84,Europe
China,2011,79.7,8.9,67.1,27.5,1720.73,Asia
USA,2018,57.9,22.2,63.3,11.5,27908.68,Americas
South Africa,2011,57.1,20.5,58.8,27.9,48507.47,Oceania
Brazil,2006,58.7,56.4,90.0,7.0,69094.66,Europe
South Africa,2001,76.3,46.3,65.8,26.3,7158.03,Europe
China,2019,76.2,48.8,51.7,23.3,77921.39,Asia
Brazil,2016,78.7,24.7,84.8,10.3,48140.28,Europe
China,2015,79.4,35.2,83.9,16.7,30285.75,Oceania
South Africa,2021,54.6,34.0,89.3,23.3,39365.27,Americas
China,2021,56.2,19.3,57.6,23.1,61517.7,Africa
Germany,2011,62.0,40.9,73.1,29.2,66928.46,Africa
Germany,2018,64.1,7.3,90.9,12.1,65760.82,Asia
Brazil,2008,83.0,11.8,75.1,20.6,34092.6,Americas
China,2017,69.8,57.2,80.5,11.4,74617.25,Americas
Australia,2017,81.8,57.4,92.2,19.3,74458.31,Europe
South Africa,2018,73.8,49.8,95.9,18.2,21748.14,Americas
South Africa,2020,69.7,42.5,85.9,14.2,57854.74,Europe
Brazil,2013,54.5,42.4,93.4,20.2,10392.83,Oceania
China,2004,81.2,5.1,95.3,21.4,15550.84,Oceania
Germany,2010,62.0,9.0,75.6,19.1,19564.12,Asia
Brazil,2016,55.4,58.4,81.4,13.8,6635.12,Africa
Australia,2011,63.0,42.1,73.6,10.4,55414.04,Oceania
Brazil,2023,50.0,36.1,70.4,24.7,75963.19,Americas
Brazil,2013,52.3,48.1,86.9,12.6,35162.12,Asia
India,2000,83.9,27.3,80.0,7.0,48752.16,Europe
China,2013,67.6,17.2,92.9,10.8,26277.82,Asia
Germany,2007,58.8,26.0,91.5,16.1,62013.0,Oceania
Brazil,2005,83.6,23.0,59.4,22.0,43366.54,Africa
South Africa,2011,68.6,49.6,86.4,20.1,2400.39,Oceania
USA,2000,84.1,23.4,51.7,14.6,53666.57,Europe
Germany,2001,78.9,53.8,72.0,24.4,67634.05,Asia
South Africa,2017,73.5,31.5,56.3,20.9,26950.89,Oceania
USA,2006,71.3,59.5,54.8,7.7,21525.08,Asia
Australia,2004,77.5,9.0,62.2,8.3,56731.16,Oceania
USA,2017,73.1,36.4,92.4,10.2,25639.44,Africa
Brazil,2000,65.9,51.6,86.7,21.7,8517.17,Asia
Brazil,2004,71.5,54.0,60.7,5.3,41542.3,Oceania
China,2013,83.1,5.7,54.8,18.9,37292.64,Asia
Brazil,2019,61.5,45.0,56.8,15.4,26807.47,Americas
Brazil,2010,82.1,12.2,51.5,29.9,6876.84,Asia
USA,2018,51.3,23.8,65.3,24.0,32671.16,Africa
Brazil,2010,73.5,27.6,65.4,12.6,11201.82,Europe
China,2008,63.6,35.4,69.4,13.4,66417.67,Asia
USA,2007,81.4,53.3,61.9,16.3,43328.36,Oceania
Brazil,2022,50.2,37.6,51.1,9.1,23982.33,Oceania
India,2019,62.9,52.4,77.1,23.8,25934.16,Americas
Australia,2015,60.5,55.0,87.9,29.6,26704.76,Africa
Germany,2010,50.6,11.9,50.0,7.4,59309.77,Oceania
India,2015,50.5,1.8,93.3,28.4,77288.6,Europe
China,2014,67.9,2.7,86.8,8.7,1802.85,Africa
Australia,2013,64.6,26.5,89.7,20.2,1649.25,Africa
Brazil,2019,56.5,41.9,82.0,6.6,38332.41,Americas
India,2009,61.6,7.0,70.0,22.1,56645.73,Africa
Australia,2023,79.1,58.7,50.4,27.3,4754.61,Europe
India,2008,83.1,57.0,61.0,28.3,30157.27,Oceania
South Africa,2022,80.5,55.4,54.5,19.6,59230.29,Europe
